trip_id,car_name,vehicle_type,fuel_type,trip_category,distance_km,trip_duration_hr,avg_speed_kmph,base_mileage_kmpl,actual_mileage_kmpl,mileage_delta_kmpl,fuel_consumed_L,fuel_cost_usd,cost_per_km_usd,co2_emissions_kg,co2_per_km,relative_efficiency,efficiency_band
1,Lexus ES,Luxury,Diesel,Very Long (>400 km),437.85,4.84,90.51,11.31,11.24,-0.07,38.96,44.59,0.1018,104.413,0.2385,0.5979,Average
2,Lexus ES,Luxury,Petrol,Medium (50–200 km),181.86,3.54,51.43,9.98,9.61,-0.37,18.92,23.93,0.1316,43.705,0.2403,0.5113,Poor
3,Audi A6,Luxury,Petrol,Medium (50–200 km),118.07,1.46,80.62,11.06,11.24,0.18,10.5,13.28,0.1125,24.255,0.2054,0.5982,Average
4,Maruti Swift,Hatchback,Diesel,Long (200–400 km),343.16,4.72,72.65,21.17,19.65,-1.52,17.46,19.98,0.0582,46.793,0.1364,0.7181,Average
5,Hyundai Creta,SUV,Diesel,Long (200–400 km),371.03,3.87,95.78,13.01,12.39,-0.62,29.95,34.28,0.0924,80.266,0.2163,0.5717,Average
6,BMW 5 Series,Luxury,Petrol,Long (200–400 km),252.85,3.79,66.69,11.5,10.86,-0.64,23.28,29.45,0.1165,53.777,0.2127,0.5778,Average
7,BMW 5 Series,Luxury,Hybrid,Very Long (>400 km),443.63,5.74,77.3,16.92,18.49,1.57,23.99,28.9,0.0651,47.98,0.1082,0.9838,Excellent
8,Hyundai i20,Hatchback,Diesel,Medium (50–200 km),52.15,0.47,110.19,21.61,22.1,0.49,2.36,2.7,0.0518,6.325,0.1213,0.8073,Good
9,Maruti Swift,Hatchback,Hybrid,Very Long (>400 km),491.22,6.46,76.04,20.33,20.28,-0.05,24.22,29.18,0.0594,48.44,0.0986,0.741,Average
10,Maruti Ertiga,MUV,Diesel,Medium (50–200 km),174.16,3.02,57.61,17.71,18.26,0.55,9.54,10.92,0.0627,25.567,0.1468,0.9578,Excellent
11,Tata Harrier,SUV,Hybrid,Medium (50–200 km),197.35,4.52,43.63,16.85,17.37,0.52,11.36,13.69,0.0694,22.72,0.1151,0.8018,Good
12,Hyundai Creta,SUV,Diesel,Medium (50–200 km),199.16,2.2,90.56,12.87,14.01,1.14,14.22,16.28,0.0817,38.11,0.1914,0.6464,Average
13,Honda Brio,Hatchback,Petrol,Long (200–400 km),270.12,3.97,68.02,17.92,17.3,-0.62,15.61,19.75,0.0731,36.059,0.1335,0.6322,Average
14,Mahindra Marazzo,MUV,Petrol,Long (200–400 km),317.83,3.2,99.38,11.06,11.84,0.78,26.84,33.95,0.1068,62.0,0.1951,0.6213,Average
15,Honda Brio,Hatchback,Hybrid,Medium (50–200 km),96.17,1.59,60.66,24.45,23.92,-0.53,4.02,4.84,0.0503,8.04,0.0836,0.874,Good
16,Lexus ES,Luxury,Diesel,Long (200–400 km),279.99,2.78,100.66,13.56,14.1,0.54,19.86,22.73,0.0812,53.225,0.1901,0.75,Good
17,Audi A6,Luxury,Petrol,Medium (50–200 km),108.98,1.24,87.98,10.85,10.12,-0.73,10.77,13.62,0.125,24.879,0.2283,0.5383,Poor
18,Toyota Innova,MUV,Diesel,Long (200–400 km),300.64,5.93,50.69,15.54,15.72,0.18,19.13,21.9,0.0728,51.268,0.1705,0.8245,Good
19,Honda City,Sedan,Diesel,Medium (50–200 km),146.75,1.27,115.13,18.98,18.48,-0.5,7.94,9.09,0.0619,21.279,0.145,0.7294,Average
20,Maruti Alto,Hatchback,Diesel,Long (200–400 km),242.3,3.89,62.28,19.08,18.51,-0.57,13.09,14.98,0.0618,35.081,0.1448,0.6763,Average
21,Skoda Rapid,Sedan,Hybrid,Long (200–400 km),241.53,2.04,118.66,23.44,22.16,-1.28,10.9,13.13,0.0544,21.8,0.0903,0.8744,Good
22,Honda City,Sedan,Petrol,Long (200–400 km),227.53,5.35,42.49,16.74,17.58,0.84,12.94,16.37,0.0719,29.891,0.1314,0.6939,Average
23,Lexus ES,Luxury,Petrol,Long (200–400 km),322.42,2.97,108.65,11.55,10.93,-0.62,29.49,37.31,0.1157,68.122,0.2113,0.5816,Average
24,Honda Brio,Hatchback,Diesel,Long (200–400 km),229.48,2.46,93.34,21.55,23.46,1.91,9.78,11.19,0.0488,26.21,0.1142,0.8573,Good
25,Tata Harrier,SUV,Petrol,Very Long (>400 km),499.47,7.55,66.13,12.88,12.28,-0.6,40.69,51.48,0.1031,93.994,0.1882,0.5665,Average
26,Audi A6,Luxury,Diesel,Medium (50–200 km),135.92,3.14,43.23,10.02,10.2,0.18,13.32,15.25,0.1122,35.698,0.2626,0.5428,Poor
27,Tata Tiago,Hatchback,Hybrid,Very Long (>400 km),427.61,5.9,72.48,20.11,22.28,2.17,19.19,23.12,0.0541,38.38,0.0898,0.8141,Good
28,Maruti Ertiga,MUV,Diesel,Long (200–400 km),358.96,5.55,64.72,14.56,15.72,1.16,22.84,26.14,0.0728,61.211,0.1705,0.8245,Good
29,Toyota Fortuner,SUV,Diesel,Very Long (>400 km),434.93,5.0,86.95,14.25,14.03,-0.22,31.01,35.49,0.0816,83.107,0.1911,0.6473,Average
30,Audi A6,Luxury,Petrol,Long (200–400 km),344.54,6.75,51.07,11.03,10.86,-0.17,31.74,40.15,0.1165,73.319,0.2128,0.5775,Average
31,Kia Seltos,SUV,Hybrid,Medium (50–200 km),184.11,2.24,82.21,19.64,20.85,1.21,8.83,10.64,0.0578,17.66,0.0959,0.9623,Excellent
32,MG Hector,SUV,Petrol,Very Long (>400 km),433.3,5.64,76.89,14.91,13.7,-1.21,31.63,40.01,0.0923,73.065,0.1686,0.6322,Average
33,Tata Harrier,SUV,Hybrid,Long (200–400 km),345.22,4.94,69.85,19.16,17.61,-1.55,19.6,23.61,0.0684,39.2,0.1136,0.8129,Good
34,Audi A6,Luxury,Petrol,Long (200–400 km),354.63,3.86,91.89,8.22,8.6,0.38,41.22,52.15,0.1471,95.218,0.2685,0.4577,Poor
35,MG Hector,SUV,Petrol,Long (200–400 km),218.64,3.88,56.33,13.18,14.51,1.33,15.07,19.06,0.0872,34.812,0.1592,0.6696,Average
36,Hyundai Verna,Sedan,Hybrid,Short (<50 km),29.19,0.29,102.33,21.17,20.7,-0.47,1.41,1.7,0.0582,2.82,0.0966,0.817,Good
37,MG Hector,SUV,Hybrid,Very Long (>400 km),481.24,5.81,82.87,19.19,19.23,0.04,25.02,30.14,0.0626,50.04,0.104,0.8877,Good
38,BMW 5 Series,Luxury,Petrol,Medium (50–200 km),152.97,1.35,113.7,10.34,10.17,-0.17,15.04,19.03,0.1244,34.742,0.2271,0.5411,Poor
39,Renault Triber,MUV,Diesel,Short (<50 km),35.24,0.48,73.87,15.97,17.45,1.48,2.02,2.31,0.0656,5.414,0.1536,0.9153,Excellent
40,Mahindra Marazzo,MUV,Diesel,Medium (50–200 km),121.39,1.11,109.04,14.23,13.21,-1.02,9.19,10.52,0.0867,24.629,0.2029,0.693,Average
41,Hyundai Creta,SUV,Petrol,Very Long (>400 km),498.67,11.76,42.4,14.0,12.97,-1.03,38.45,48.64,0.0975,88.82,0.1781,0.5986,Average
42,Maruti Alto,Hatchback,Hybrid,Medium (50–200 km),186.8,2.5,74.83,24.24,24.74,0.5,7.55,9.1,0.0487,15.1,0.0808,0.9039,Excellent
43,Tata Tiago,Hatchback,Diesel,Long (200–400 km),284.9,2.76,103.15,21.75,22.12,0.37,12.88,14.74,0.0517,34.518,0.1212,0.8081,Good
44,Hyundai Verna,Sedan,Diesel,Medium (50–200 km),148.91,3.1,48.08,17.37,18.61,1.24,8.0,9.16,0.0615,21.44,0.144,0.7345,Average
45,BMW 5 Series,Luxury,Hybrid,Very Long (>400 km),484.53,6.44,75.18,17.91,18.74,0.83,25.85,31.14,0.0643,51.7,0.1067,0.9971,Excellent
46,Toyota Fortuner,SUV,Diesel,Medium (50–200 km),131.6,2.61,50.37,14.52,15.27,0.75,8.62,9.87,0.075,23.102,0.1755,0.7046,Average
47,Maruti Alto,Hatchback,Petrol,Medium (50–200 km),121.04,1.16,104.72,16.51,17.77,1.26,6.81,8.62,0.0712,15.731,0.13,0.6494,Average
48,Skoda Rapid,Sedan,Hybrid,Long (200–400 km),316.27,6.03,52.48,20.12,20.21,0.09,15.65,18.86,0.0596,31.3,0.099,0.7975,Good
49,Skoda Rapid,Sedan,Diesel,Medium (50–200 km),151.35,1.92,79.03,16.56,18.06,1.5,8.38,9.59,0.0634,22.458,0.1484,0.7127,Average
50,Toyota Yaris,Sedan,Petrol,Long (200–400 km),220.93,2.88,76.67,16.58,15.86,-0.72,13.93,17.62,0.0798,32.178,0.1456,0.6259,Average
51,Honda City,Sedan,Hybrid,Very Long (>400 km),433.86,6.66,65.11,24.94,24.75,-0.19,17.53,21.12,0.0487,35.06,0.0808,0.9767,Excellent
52,Jaguar XF,Luxury,Petrol,Short (<50 km),27.6,0.34,81.82,11.06,11.13,0.07,2.48,3.14,0.1138,5.729,0.2076,0.592,Average
53,Tata Tiago,Hatchback,Hybrid,Long (200–400 km),335.88,6.8,49.36,22.8,21.5,-1.3,15.62,18.82,0.056,31.24,0.093,0.7856,Good
54,Kia Carens,MUV,Petrol,Very Long (>400 km),447.14,4.24,105.43,14.05,14.02,-0.03,31.89,40.34,0.0902,73.666,0.1647,0.7356,Average
55,Jaguar XF,Luxury,Petrol,Very Long (>400 km),485.71,4.24,114.59,10.05,9.59,-0.46,50.66,64.09,0.132,117.025,0.2409,0.51,Poor
56,MG Hector,SUV,Diesel,Medium (50–200 km),99.35,0.92,108.34,12.53,12.54,0.01,7.92,9.07,0.0913,21.226,0.2136,0.5789,Average
57,Honda City,Sedan,Diesel,Long (200–400 km),397.11,6.59,60.22,18.02,16.57,-1.45,23.97,27.44,0.0691,64.24,0.1618,0.6538,Average
58,Toyota Fortuner,SUV,Petrol,Very Long (>400 km),402.04,7.44,54.01,13.65,13.19,-0.46,30.48,38.56,0.0959,70.409,0.1751,0.6088,Average
59,Hyundai i20,Hatchback,Hybrid,Long (200–400 km),270.54,3.11,87.11,21.09,20.08,-1.01,13.47,16.23,0.06,26.94,0.0996,0.7338,Average
60,BMW 5 Series,Luxury,Hybrid,Long (200–400 km),321.12,3.21,100.02,15.6,16.77,1.17,19.15,23.07,0.0718,38.3,0.1193,0.8921,Good
61,Maruti Swift,Hatchback,Petrol,Medium (50–200 km),161.1,2.73,58.97,16.76,15.37,-1.39,10.48,13.26,0.0823,24.209,0.1503,0.5616,Average
62,Toyota Fortuner,SUV,Diesel,Long (200–400 km),244.67,3.17,77.3,15.14,14.39,-0.75,17.0,19.46,0.0795,45.56,0.1862,0.6642,Average
63,Honda City,Sedan,Diesel,Long (200–400 km),357.96,3.12,114.81,17.15,17.59,0.44,20.35,23.29,0.0651,54.538,0.1524,0.6942,Average
64,Toyota Yaris,Sedan,Petrol,Short (<50 km),41.82,0.46,91.73,16.37,17.35,0.98,2.41,3.05,0.0729,5.567,0.1331,0.6848,Average
65,Honda Brio,Hatchback,Diesel,Short (<50 km),44.12,1.03,42.79,21.09,20.91,-0.18,2.11,2.42,0.0549,5.655,0.1282,0.7639,Good
66,Toyota Innova,MUV,Petrol,Very Long (>400 km),402.08,4.01,100.3,14.36,15.22,0.86,26.41,33.41,0.0831,61.007,0.1517,0.7987,Good
67,Toyota Innova,MUV,Petrol,Long (200–400 km),311.99,4.99,62.48,14.09,15.08,0.99,20.69,26.17,0.0839,47.794,0.1532,0.7911,Good
68,Tata Tiago,Hatchback,Hybrid,Long (200–400 km),380.37,7.6,50.04,24.01,22.76,-1.25,16.71,20.13,0.0529,33.42,0.0879,0.8316,Good
